code,ko,대륙,상징물,카테고리,선정근거,예비1,예비2,명소,명소도시,명소등급,수도에있음,기존fact재사용,위험,상태
kg,키르기스스탄,아시아,"눈표범 — 두꺼운 잿빛 흰 털에 굵은 검은 고리무늬가 박히고, 몸통만큼 길고 굵은 꼬리를 눈 덮인 바위 위에 늘어뜨린 고양잇과 동물",동물,"2순위에 준함 · 나라가 국가 상징 동물로 내세우는 눈표범(비슈케크 시 문장·국가 캠페인). 국기 1순위 툰둑은 mn 게르와 4세에게 같은 '둥근 천막'이라 제외, 국장의 흰 매는 '맹금·검은 큰 새' 혼동군에 kg를 새로 넣게 되어 제외, 칼팍은 모자 6중 해소로 폐기",코무즈 — 배처럼 불룩한 나무통에 줄 세 개만 맨 짧은 키르기스 악기,보르소크 — 반죽을 마름모로 잘라 튀긴 노란 빵조각을 접시에 산처럼 수북이 쌓은 것,"이식쿨 호수 — 눈 덮인 톈산 봉우리가 멀리 병풍처럼 둘러싼, 끝이 안 보이게 넓고 짙푸른 호수. 물가는 넓적한 조약돌 해변이고 말 몇 마리가 서 있음. 겨울에도 얼지 않음",촐폰아타(이식쿨),B,,높은 산속에 있는 커다란 이식쿨 호수는 겨울에도 얼지 않아요.,"눈표범은 sa 아라비아표범과 '큰 고양잇과' 혼동군이므로 quiz.js에서 같은 판 배제(털색·꼬리 길이로 그림을 갈라 그릴 것). 국기 1순위 툰둑은 mn 게르와 겹쳐 값째로 뺐다 — 몽골이 fact 근거로 보유. 이식쿨은 af 밴드아미르·sk 타트라와 '산속 호수' 혼동군이나 결정 A에 따라 그리되 '끝이 안 보이게 넓고 짙푸른, 눈산이 둘러싼 호수'로 못박고 같은 판 배제. 예비1 코무즈는 승격 시 ve 쿠아트로·tm 두타르·mn 마두금과, 예비2 보르소크는 승격 시 af 난·be 와플과 겹치니 승격 시 재검토(둘 다 해당 혼동군에 미리 등재함). 칼팍은 모자 6중 해소로 폐기했고 다시 올리지 말 것. 상징물 음원 1개 신규 필요(기존 fact는 이식쿨=명소 쪽에서 쓰임)",final
kh,캄보디아,아시아,앙코르와트 사원,만든것,1순위 · 세계에서 유일하게 국기에 실제 건물을 그린 나라. fact에도 이미 있음,사탕야자 나무(국목),롬두올 꽃(국화),,,,,캄보디아의 앙코르와트는 세계에서 가장 큰 종교 건축물로 손꼽혀요.,상징물과 명소가 같은 소재 — 국기에 그려진 명소라 의도적으로 일치시킴(그림 1장 공유 가능). 분리하려면 상징물을 사탕야자로 바꿀 것. 앙코르와트·쉐다곤·왓아룬은 4세에게 '동남아 뾰족탑'으로 묶이므로 실루엣 차이(다섯 탑/황금 종/도자기 뾰족탑)를 프롬프트에 강제,fixed-r1
kp,북한,아시아,목란(함박꽃나무 흰 꽃),식물,2순위 · 북한이 스스로 정한 국화 목란. 국기의 별은 여러 나라와 중복,금강산 뾰족 봉우리,참매(북한 국조),백두산 천지,삼지연,A,,,정치적 민감 — 지도자 동상·기념탑·군사 요소는 전면 배제하고 남북이 공유하는 자연물(백두산)과 식물로만 구성함. 백두산은 중국 창바이산과 같은 산이라 중국 카드에는 쓰지 않음,draft
kr,대한민국,아시아,김치,먹을거리,4순위 · 한국인이 매일 먹고 세계적으로 한국과 1:1로 묶이는 음식. fact에 이미 있음,한복,무궁화(국화),경복궁 광화문,서울,B,Y,글자를 만든 날이 국경일인 나라예요. 김치와 태권도로도 아주 유명해요,경복궁은 중국 자금성·일본 궁궐과 4세에게 '기와 지붕 건물'로 묶임 — 중국 명소를 만리장성으로 두어 직접 충돌은 피했으나 동아시아 궁궐은 앞으로도 1개국만 쓸 것. 태극 무늬는 국기 퀴즈와 중복되어 상징물에서 제외,draft
kw,쿠웨이트,아시아,전통 배 다우(붐),만든것,4순위 · 쿠웨이트 화폐와 국가 상징에 등장하는 목선. 걸프 국가 중 배는 조선·진주무역 중심지였던 쿠웨이트가 가져감,사막에 피는 노란 쿠웨이트 국화 '아르파즈',,,,,,,"1979년 완공 건축물 — 설계자 사후 70년 미경과로 저작권 주의. 사진 모사 금지, '기둥에 파란 공이 꽂힌' 단순 실루엣을 주간 모습으로만 새로 그릴 것",final
kz,카자흐스탄,아시아,사과,먹을거리,4순위 · 세계 모든 사과의 조상 야생사과가 자라는 곳이고 옛 수도 알마티가 '사과의 아버지'라는 뜻,코가 주머니처럼 늘어진 초원의 사이가 영양,,"호자 아흐메드 야사위 영묘 — 모래색 벽돌로 쌓은 커다란 네모 상자 위에 민트빛 청록 줄무늬 돔 하나가 얹히고, 정면에 아주 큰 아치 문 하나가 통째로 뚫린 건물. 성상·의식·신도·내부 없이 건물 외곽 실루엣만",투르키스탄,B,,,국기 1순위인 초원 독수리를 예비로 내린 것은 아랍에미리트 국장 매와 4세에게 구별이 불가능하기 때문(혼동 쌍: 독수리↔매). 유럽·아메리카의 독수리 국가들과도 충돌하므로 사과 채택. 바이테렉 탑 등 아스타나 현대 건축은 저작권·인지도 양쪽에서 제외,final
la,라오스,아시아,코끼리,동물,4순위 · 나라 옛 이름 '란쌍'이 백만 마리 코끼리의 땅이라는 뜻. fact에 이미 있음,메콩강 긴 나룻배,프랑지파니(국화 참파),"쾅시 폭포 — 우유를 탄 듯한 뽀얀 하늘색 물이 석회암이 만든 얕은 단지에 층층이 고였다 넘치는 폭포. 양옆은 짙은 초록 정글, 물 위를 가로지르는 다리는 없음",루앙프라방,A,,메콩강이 흐르는 나라로 옛날에는 코끼리의 땅이라고 불렸어요.,"코끼리는 태국 국가 지정 동물과 충돌 — 라오스가 fact 근거로 가져가고 태국은 툭툭으로 확정. 탓루앙 황금탑은 미얀마 쉐다곤과 같은 그림이라 제외하고, 결정 A에 따라 쾅시 폭포를 채택했다 — '우유를 탄 듯 뽀얀 하늘색 물 + 물 위 다리 없음'으로 못박아 hr 플리트비체(에메랄드빛 + 나무다리)와 가르고 quiz.js에서 같은 판 배제",final
lb,레바논,아시아,백향목(레바논 삼나무),식물,1순위 · 국기 한가운데 그려진 나무. fact에도 이미 있음,자타르 향신료,레바논 유리 공예,바다에 솟은 라우셰 비둘기 바위,베이루트,B,Y,국기에 그려진 백향목은 아주 오래 사는 커다란 나무예요.,바알베크 신전은 기둥 유적이라 파르테논·콜로세움 혼동군에 들어가므로 제외. 카디샤 백향목 숲을 명소로 쓰면 상징물과 중복되어 제외,draft
lk,스리랑카,아시아,실론 홍차,먹을거리,4순위 · 옛 이름 '실론'이 붙어 세계적으로 이 나라와 1:1로 묶이는 물건. fact에 이미 있음,시나몬(계피),,정글 위에 솟은 시기리야 바위산,시기리야,A,,인도양에 떠 있는 섬나라예요. 향긋한 실론 홍차가 세계적으로 유명해요,국기 1순위인 사자는 칼을 들고 있어 무기 요소가 있고 싱가포르 머라이언과도 겹쳐 상징물에서 제외함(국기 이미지 자체는 유지),final
mm,미얀마,아시아,볼에 바르는 노란 타나카,만든것,"4순위 · 미얀마 사람이 매일 얼굴에 바르는, 다른 어느 나라에도 없는 나무가루 화장",롱지(전통 치마),파다욱 꽃,황금빛 쉐다곤 파고다,양곤,A,,금빛으로 반짝이는 쉐다곤 파고다라는 커다란 탑이 서 있어요.,"타나카는 4세 인지도가 애매 — 아이 얼굴에 노란 동그라미·나뭇잎 무늬를 그리되 실존 인물 묘사가 되지 않도록 일반 인물로. 국조 초록공작은 인도 공작과 겹쳐 제외. 쉐다곤은 라오스 탓루앙과 같은 형태라 라오스를 쾅시 폭포로 돌려 해소했고, 태국 왓 아룬과는 '매끈한 황금빛 종(mm) 대 오돌토돌한 회백색 도자기 탑(th)'으로 갈라 quiz.js에서 같은 판 배제",final
mn,몽골,아시아,둥근 천막집 게르,만든것,4순위 · 몽골 사람이 실제로 사는 집. fact에 이미 있음,머리에 말 조각이 달린 두 줄짜리 몽골 악기 '마두금',,고비 사막의 모래언덕과 혹이 두 개인 쌍봉낙타 무리(게르·말은 그리지 않음),움느고비,B,,넓은 초원에서 게르라는 둥근 천막집을 짓고 말을 타며 지내요.,"칭기즈칸 기마상은 실존 인물이라 제외. 사막 모래언덕 3중(dz 상징물·sa 명소)은 결정 A에 따라 모두 그리되 소품으로 가른다 — 몽골은 혹 두 개인 쌍봉낙타, 사우디는 혹 하나인 단봉낙타 행렬, 알제리는 낙타 없이 바람결만. 게르는 상징물이 가져갔으므로 명소에 넣지 말 것(규칙2). 예비1은 '말'이 tm·si 상징물과 충돌해 마두금(머리에 말 조각)으로 옮겼고 예비2 검독수리는 맹금군이라 비웠다",final
mv,몰디브,아시아,만타가오리,동물,3순위 · 몰디브 국장에 그려진 코코넛야자이자 국목,카우리 조개껍데기,,에메랄드빛 바다 위 하얀 산호 모래섬,말레 인근 환초,B,,"1,000개가 넘는 산호섬으로 이루어져 있고 세계에서 땅이 가장 낮아요.",수상 방갈로는 브루나이 캄퐁 아예르와 같은 그림이라 제외함. 야자수는 열대 국가 전반과 겹치므로 194개국 진행 시 다른 나라에 야자수 단독 사용 금지 필요,fixed-r1
my,말레이시아,아시아,붉은 히비스커스(분가 라야),식물,2순위 · 말레이시아 국화. 국기의 초승달·별은 이슬람권 다수 국가와 중복,두리안,와우 연(전통 연),,,,,,"1998년 완공, 설계자 사후 70년 미경과 — 저작권 주의. 다만 '똑같은 탑 두 개가 다리로 이어진' 형태는 4세도 구별 가능한 드문 현대 건축이라 단순 실루엣·주간 한정으로 채택. 대체안은 키나발루산. 바투 동굴은 거대 신상이 있어 성상 금지 규칙으로 제외",fixed-r1
np,네팔,아시아,랄리구라스(붉은 만병초),식물,2순위 · 네팔 국화. 국기의 해·달은 다른 나라와 중복,단푸(국조 무지개꿩),네팔 삼각 국기 모양 자체,세계에서 가장 높은 산 에베레스트,솔루쿰부,S,,세계에서 가장 높은 산 에베레스트가 이 나라에 우뚝 솟아 있어요.,"에베레스트↔K2(파키스탄)는 4세에게 사실상 같은 눈 덮인 산 — 혼동 쌍. 에베레스트는 오색 룽다 깃발과 베이스캠프를, K2는 검은 피라미드형 단일봉을 강제해 구분할 것",draft
om,오만,아시아,유향(향기 나는 나무 수지),식물,"5순위 · 무기 제외 대상국이라 국기의 칸자르 단검을 뺌. fact에 이미 있는 유향나무 채택, 유향의 땅은 유네스코 유산",구리 접시에 담은 오만 전통 젤리 과자 '할와',와디의 초록 물웅덩이,니즈와 요새 — 대추야자 숲 한가운데 흙빛 베이지색 원통 하나가 통째로 솟은 낮고 굵은 요새. 뾰족한 지붕도 큰 창도 없이 꼭대기가 평평하고 톱니 난간만 둘림,니즈와,B,,향기로운 유향 나무가 자라서 옛날부터 향 무역으로 유명했어요.,무기 제외 6개국 중 하나 — 국기 속 칸자르 단검은 상징물 카드에서 완전 배제(국기 이미지 자체는 유지). 그랜드 모스크는 종교 시설이라 명소에서 제외,final
ph,필리핀,아시아,화려하게 꾸민 지프니,만든것,"4순위 · 필리핀 사람이 매일 타는, 세계 어디에도 없는 형태의 합승차",삼파기타(국화 자스민),필리핀수리(국조),수백 개 둥근 언덕 초콜릿 힐즈,보홀,A,,,지프니↔파키스탄 트럭 아트가 '알록달록한 탈것'으로 겹치므로 파키스탄을 분홍 소금으로 돌려 해소함,draft
pk,파키스탄,아시아,히말라야 분홍 소금,땅과하늘,"4순위 · 케우라 소금광산에서 나와 세계 각국 식탁에 오르는, 파키스탄과 1:1로 묶이는 물건","마코르(국가 지정 동물, 나선 뿔 염소)",화려하게 꾸민 트럭 아트,세계 두 번째로 높은 산 K2,길기트발티스탄,B,,세계에서 두 번째로 높은 산 K2가 이 나라 북쪽에 있어요.,K2↔에베레스트 혼동 쌍(위 네팔 항목 참조). 국가 지정 동물 마코르를 2순위인데도 예비로 내린 것은 아시아 동물 카테고리 편중을 막기 위함 — 트럭 아트는 필리핀 지프니와 '화려한 탈것'으로 겹쳐 2예비로 둠,draft
qa,카타르,아시아,아라비아오릭스,동물,2순위 · 카타르 국가 지정 동물(국적기·마스코트까지 오릭스). 국기는 톱니 무늬뿐이라 1순위 없음,사막장미 모래결정,,"알주바라 요새 — 사막 모래밭에 홀로 선 새하얀 네모 상자 모양 요새. 네 모서리 중 셋은 둥근 원통 탑, 하나는 네모 탑이고 벽에 창이 거의 없어 통짜 흰 벽으로 보임",알주바라,B,,,오릭스는 요르단·아라비아반도 전역에 걸치므로 카타르가 공식 지정 근거로 독점. 도하 마천루 스카이라인은 저작권·4세 인지도 양쪽에서 제외,final
sa,사우디아라비아,아시아,아라비아표범 — 모래빛 털에 검은 점무늬가 박힌 큰 고양잇과,동물,4순위 · 무기 제외 대상국이라 국기의 칼을 뺌. fact에 이미 있고 사우디 사람들이 실제로 기르고 타는 동물,알울라의 붉은 사암 협곡,사막 바위벽에 쪼아 새긴 히마의 옛 그림(뿔 굽은 아이벡스와 손자국),세계에서 가장 넓은 모래사막 룹알할리,룹알할리(엠프티쿼터),B,,"세계에서 가장 넓은 모래사막 룹알할리가 있고, 낙타를 아주 소중히 여겨요",무기 제외 6개국 중 하나 — 국기 속 칼은 상징물 카드에서 완전 배제. 메카 카바·예언자 모스크는 종교 금지로 전면 제외. 마다인살레(헤그라)는 요르단 페트라와 같은 양식이라 제외하고 사막 채택. 사막 모래언덕은 몽골 고비와 겹치므로 낙타 행렬을 넣어 차별화,final
sg,싱가포르,아시아,반다 미스 조아킴 난초,식물,2순위 · 싱가포르 국화로 공식 지정된 보랏빛 난초,페라나칸 알록달록 꽃무늬 타일,싱가포르 치킨라이스,,,,,,"머라이언은 1972년 조각(작가 사후 70년 미경과) + 싱가포르관광청 상표 — 실물 조각 모사 금지. '사자 머리에 물고기 몸' 개념만 가져와 완전히 새로 디자인할 것. 사자 소재는 싱가포르가 독점하므로 스리랑카(국기 사자, 칼 들고 있음)는 실론 홍차로, 케냐·에티오피아도 다른 소재로 돌려야 함",fixed-r1
sy,시리아,아시아,알레포 비누 — 올리브유로 굳힌 네모난 초록빛 비누 덩어리,만든것,"4순위 · 유네스코 무형유산으로 등재된, 도시 이름이 그대로 붙은 장미",자개를 촘촘히 박아 무늬를 낸 다마스쿠스 나무 상자,시리아 피스타치오,,,,,,"크락 데 슈발리에는 분쟁지 문화재라 제외. 팔미라를 뺀 것과 같은 기준이다. (README.md:173-176의 ""어른들 사이에서도 답이 갈리는 것은 아이 자료에서 뺀다"" 방침) 상징물 알레포 비누로 카드는 성립한다.",final
th,태국,아시아,세 바퀴 툭툭,만든것,4순위 · 태국 사람이 매일 타는 탈것. 국화 라차프륵(2순위)은 노란 꽃이라 4세 변별력이 없어 예비로 내림,라차프륵(국화 황금 샤워),수상시장 과일 배,"왓 아룬 — 강가에 선 밝은 회백색 뾰족탑. 도자기 조각과 조개껍데기가 온 표면에 촘촘히 박혀 오돌토돌하고, 가운데 큰 탑 하나를 작은 탑 넷이 둘러섬. 신도·의식·불상 없이 건물 외곽만",방콕,A,Y,,국가 지정 동물 코끼리는 라오스에 넘김. 왓 아룬은 미얀마 쉐다곤과 '동남아 뾰족탑' 혼동군이나 결정 A에 따라 그리되 '도자기 조각으로 덮인 밝은 회백색 오돌토돌한 탑'이라는 질감을 강제하고 quiz.js에서 같은 판 배제. 불교 사원이므로 신도·의식·불상 없이 건물 외곽만 — mm 쉐다곤·id 보로부두르·bt 탁상 사원과 같은 지위,final
tj,타지키스탄,아시아,국기에 그려진 금색 왕관,만든것,1순위 · 국기 한가운데 그려진 금색 왕관과 별 일곱 개. 나라 이름과 왕관이 직접 연결됨,파미르 고원 만년설,마르코폴로 뿔양,,,,,,왕관은 다른 나라 국장·왕실 문양과 겹칠 위험이 큼 — 별 일곱 개를 아치처럼 두른 형태를 반드시 유지할 것. 4세가 알아볼 대표 명소가 없어 명소 칸을 비움(산은 네팔·파키스탄과 중복),draft
tl,동티모르,아시아,손으로 짠 타이스 천,입는것,4순위 · 동티모르 사람들이 의식과 일상에서 두르는 국가 정체성 직물,악어(나라가 생긴 전설 속 악어),백단향 나무,,,,,,수도 딜리의 크리스투 레이 예수상은 종교 성상 + 20세기 조각이라 이중으로 제외. 4세가 알아볼 다른 명소가 없어 명소 칸을 비움. 타이스는 인도네시아 바틱과 '무늬 천'으로 겹칠 수 있어 줄무늬 직조 형태를 강조할 것,draft
tm,투르크메니스탄,아시아,아할테케 말,동물,3순위 · 국장 한가운데 그려진 황금빛 아할테케 말. fact에도 이미 있음,목이 긴 두 줄짜리 투르크멘 악기 '두타르'(유네스코 무형유산),,,,,,"카라쿰 사막이 나라의 대부분을 덮고 있고, 반짝이는 아할테케 말이 유명해요",국기 1순위인 양탄자 무늬는 이란 페르시아 양탄자와 4세에게 동일하므로 예비로 내림. 다르바자 '지옥의 문' 불구덩이는 아제르바이잔 불꽃과 같은 그림이라 명소 칸을 비움. 아시가바트 흰 대리석 건축은 현대 건축이라 제외,final
tr,튀르키예,아시아,나자르 본주우(파란 눈 부적),만든것,4순위 · 튀르키예 집·가게·가방 어디에나 걸려 있고 세계적으로 이 나라와 1:1로 묶이는 물건,튤립 모양 터키 홍차 유리잔,,카파도키아 기암과 열기구,괴레메(네브셰히르),A,,,국화 튤립은 세계 인지도상 네덜란드와 1:1이라 예비로 내림. 나자르는 부적이라 미신 요소 우려가 있으면 파묵칼레 하얀 석회 계단을 상징물로 승격 가능. 아야소피아는 종교 시설 + 돔 혼동군이라 제외,final
uz,우즈베키스탄,아시아,목화,식물,3순위 · 우즈베키스탄 국장에 밀과 함께 그려진 목화송이,수자니 자수 천,우즈베크 멜론,레기스탄 광장 — 광장 세 면에 파란 타일이 벽 전체를 뒤덮은 커다란 아치 문 건물이 나란히 셋 서 있고 그 뒤로 파란 돔이 솟음. 성상·의식·신도·내부 없이 건물 외곽 실루엣만,사마르칸트,A,,,우즈베크 목화는 과거 아동·강제노동 이슈가 있던 소재(2022년 ILO 해제) — 사람이 따는 장면 없이 목화송이와 들판만 그릴 것. 레기스탄의 푸른 타일 돔은 이란 이스파한·카자흐스탄 영묘와 4세에게 동일하므로 세 나라 중 하나만 살리는 것이 안전,final
