"code","kind","koApprove","subjectEn","inCapital","override유무","substitutedFrom","status","tries","생성일"
"bw","symbol","얼룩말","One zebra stands on four slender legs, with crisp black stripes wrapping its white body, an upright short striped mane, rounded ears and a thin tail ending in a dark tuft.","false","N","","approved-image","1","2026-09-15"
"bw","landmark","오카방고 습지","One Okavango wetland scene seen obliquely from above has branching blue water channels curling around three low green grassy islands, with soft reed edges and no steep banks or waterfalls.","false","Y","","approved-image","1","2026-09-15"
"by","symbol","유럽들소","A single European bison with a bulky dark brown body, a high shaggy shoulder hump, a short beard and two small upward horns, standing beside two dark green spruce trunks.","false","Y","","approved-image","2","2026-09-15"
"bz","symbol","마호가니 나무","A single mahogany tree, a thick straight reddish brown trunk dividing into broad branches beneath a wide rounded crown of dense dark green compound leaves.","false","N","","approved-image","1","2026-09-15"
"bz","landmark","그레이트 블루홀","A single Great Blue Hole viewed from above, one deep navy circular opening surrounded by a pale turquoise reef ring and a wider patch of blue sea.","false","Y","","approved-image","1","2026-09-15"
"ca","symbol","단풍잎","A single red maple leaf with five main pointed lobes, sharply notched edges and branching red veins, attached to one short slender stem pointing downward.","false","N","","approved-image","1","2026-09-15"
"ca","landmark","옐로나이프 오로라","A single curtain of green aurora above Yellowknife, three flowing vertical ribbons bending across dark blue sky over a low snowy horizon and small black spruce silhouettes.","false","Y","","approved-image","1","2026-09-15"
"cd","symbol","오카피","One okapi stands on four legs, its smooth chestnut body and long dark neck contrasting with white lower legs crossed by black stripes, large rounded ears and a pale muzzle.","false","N","","approved-image","1","2026-09-15"
"cd","landmark","용암 호수","One Nyiragongo crater seen from above contains a small glowing orange red lava lake deep inside steep dark grey rocky walls, with a broad uneven rim surrounding the contained molten surface.","false","Y","","approved-image","1","2026-09-15"
"cf","symbol","다이아몬드 원석","Three rough colorless diamond crystals sit together as one small cluster, each with irregular translucent angular planes, pale blue highlights and naturally chipped edges, without polished jewel cuts or metal settings.","false","N","","approved-image","1","2026-09-15"
"cg","symbol","사카사카 나물","One plain cream bowl holds a rounded heap of finely pounded cooked cassava leaves, uniformly deep green with a soft leafy texture, without meat, peppers, rice, sauce pools or garnish.","false","N","","approved-image","1","2026-09-15"
"cg","landmark","콩고강 급류","One wide brown Congo River rapid near Brazzaville foams white around dozens of low rounded black rocks, all water rushing horizontally through the gaps without a falling curtain or stepped ledges.","false","Y","","approved-image","1","2026-09-15"
"ch","symbol","구멍 난 치즈","A single triangular wedge of golden yellow Swiss cheese, its two cut surfaces pierced by six large round holes and its curved back edge covered by a slightly darker rind.","false","N","","approved-image","1","2026-09-15"
"ch","landmark","마터호른","A single Matterhorn mountain, one sharply pointed triangular peak with an uneven slanted summit, steep grey rock slopes and white snow clinging to narrow ridges above a small rocky base.","false","N","","approved-image","1","2026-09-15"
"ci","symbol","카카오 열매","One short cacao branch holds two elongated ribbed pods, one golden orange pod whole and the other split open to reveal large cream seeds nested tightly inside soft white pulp.","false","N","","approved-image","1","2026-09-15"
"ci","landmark","덩굴 다리","One handwoven vine bridge near Man sags into a deep U between two tree trunks, its rope floor and high woven sides forming a tunnel above brown water and green forest.","false","Y","","approved-image","1","2026-09-15"
"cl","symbol","코피우에 꽃","A single red copihue flower hanging downward from a thin curling vine, its long bell formed by six thick overlapping petals beside two oval dark green leaves.","false","N","","approved-image","2","2026-09-15"
"cl","landmark","모아이 석상","A single row of three brown moai statues with their backs toward blue sea, each with a rectangular head, heavy brow and broad nose above a compact weathered stone torso.","false","Y","","approved-image","1","2026-09-15"
"cm","symbol","카메룬산","One Mount Cameroon rises as a broad uneven volcanic mountain, its dark charcoal slopes carrying narrow green patches above a small blue coastal strip, with a rounded summit and no snow.","false","Y","","approved-image","2","2026-09-15"
"cm","landmark","바다로 흐르는 폭포","One Lobe waterfall pours in short white streams over low dark rocks directly into blue Atlantic seawater, with a narrow sandy edge making the meeting of river and ocean clearly visible.","false","Y","","approved-image","1","2026-09-15"
"cn","symbol","판다","A single giant panda, a black-and-white bear sitting upright and holding one green bamboo stalk with both front paws, with black ears, black eye patches and black shoulders.","false","N","","approved-image","1","2026-09-15"
"cn","landmark","만리장성","A single stretch of the Great Wall of China, a grey stone wall with a crenellated top and one square watchtower, curving up and down along the ridge it follows.","true","N","","approved-image","2","2026-09-15"
"co","symbol","에메랄드 원석","A single grey host rock holding three uncut deep green emerald crystals, each crystal forming a six-sided column with a flat top and rough edges at its base.","false","N","","approved-image","1","2026-09-15"
"co","landmark","엘 페뇰 바위","A single El Penol rock, one enormous rounded grey monolith with a steep vertical cleft, a narrow white zigzag staircase climbing the cleft and green plants at its base.","false","Y","","approved-image","1","2026-09-15"
"cr","symbol","나무늘보","A single brown sloth hanging upside down from one short branch, its four curved paws gripping the wood and its round head turned gently toward the viewer.","false","N","","approved-image","1","2026-09-15"
"cr","landmark","아레날 화산","A single Arenal volcano, one evenly sloping green cone with a narrow summit releasing white steam, rising above a low band of dark green tropical trees.","false","Y","","approved-image","1","2026-09-15"
"cu","symbol","옛날 자동차","A single turquoise vintage car with a rounded roof, curved fenders, four black tires and two round headlights, its windows empty and its broad front grille unbranded.","false","N","","approved-image","1","2026-09-15"
"cv","symbol","카추파","One shallow cream bowl of cachupa contains clearly separated large yellow corn kernels and reddish brown beans in a little golden broth, with a chunky texture and no meat or garnish.","false","N","","approved-image","1","2026-09-15"
"cv","landmark","검은 용암 해안","One Fogo coastline scene shows three rough black lava boulders on a curved black sand beach, where a bright blue wave breaks into a narrow white foam line along the dark shore.","false","Y","","approved-image","1","2026-09-15"
"cy","symbol","키프로스 고양이","A single ginger and white Cyprus cat sitting upright on pale sand beside one blue sea strip, with pointed ears, four visible paws and a long tail curling around its feet.","false","N","","approved-image","2","2026-09-15"
"cz","symbol","줄 인형","A single wooden marionette with a round head, a red torso and separately jointed arms and legs, suspended by five thin strings from one plain wooden control bar.","false","Y","","approved-image","1","2026-09-15"
"cz","landmark","프라하 천문시계","A single Prague astronomical clock facade, two large circular gold and blue dials stacked vertically within a pale stone frame, beneath two small closed windows and a short tiled canopy.","true","Y","","approved-image","2","2026-09-15"
"de","symbol","소시지","A single thick curved German sausage with a warm reddish brown casing, gently rounded ends twisted closed and three shallow diagonal grilled marks across its plump middle.","false","N","","approved-image","1","2026-09-15"
"de","landmark","노이슈반슈타인 성","A single Neuschwanstein Castle, an elongated pale stone palace with one dominant tall tower, smaller pointed slate roofs and narrow dark windows, resting on a steep green rocky ridge.","false","Y","","approved-image","1","2026-09-15"
"dj","symbol","압베 바위 기둥","One Lake Abbe scene groups three tall rough limestone chimneys, with thin white steam curling from their uneven tops and two small pink flamingos standing beside the pale mineral ground.","false","Y","","approved-image","1","2026-09-15"
"dj","landmark","아살 소금 호수","One Lake Assal scene has clear turquoise water bordered by a thick cracked white salt crust, with dark black volcanic hills beyond, forming three unmistakable bands of black, white and turquoise.","false","Y","","approved-image","1","2026-09-15"
"dk","symbol","플라스틱 블록","A single small stack of four chunky building blocks in red, yellow, blue and green, each with simple round studs and smooth blank sides, loosely interlocked into a stepped shape.","false","Y","","approved-image","1","2026-09-15"
"dk","landmark","뉘하운 운하","A single Nyhavn canal scene, five narrow houses painted yellow, orange, red, blue and cream standing shoulder to shoulder beside calm turquoise water and one small plain moored wooden boat.","true","Y","","approved-image","1","2026-09-15"
"dm","symbol","시세루 앵무","A single imperial amazon parrot perched on one short branch, with a purple chest and head, green wings, a hooked grey beak and a short rounded tail.","false","N","","approved-image","1","2026-09-15"
"dm","landmark","끓는 호수","A single Boiling Lake inside a rocky bowl, grey blue water bubbling beneath curling white steam, surrounded by steep bare brown slopes with an uneven rim.","false","N","","approved-image","1","2026-09-15"
"do","symbol","야구 글러브와 공","A single tan leather baseball glove cupping one white baseball with two curved rows of red stitches, the glove's five padded fingers spread into an open fan.","false","N","","approved-image","1","2026-09-15"
"dz","symbol","붉은 모래 언덕","One sweeping Saharan sand dune has warm reddish orange slopes, a sharp curved ridge and fine wind ripples along its lower edge, with no rocks, trees, water or buildings.","false","N","","approved-image","1","2026-09-15"
"dz","landmark","타실리 바위 그림","One broad red sandstone wall at Tassili carries flat ochre and white animal paintings, showing two long necked giraffes beside three cattle, their ancient painted silhouettes clearly attached to the stone.","false","Y","","approved-image","1","2026-09-15"
"ec","symbol","갈라파고스 땅거북","A single Galapagos giant tortoise with a saddle-shaped brown shell rising above its long stretched neck, four thick scaly legs and a small rounded head.","false","N","","approved-image","1","2026-09-15"
"ee","symbol","수레국화","A single blue cornflower on one slender green stem, a round center of tiny violet florets surrounded by a ring of long jagged cobalt blue petals and two narrow leaves.","false","N","","approved-image","1","2026-09-15"
"ee","landmark","탈린 성벽 마을","A single Tallinn old town section, three round stone towers wearing red conical roofs along one connecting wall, with red tiled houses and one slender green spire rising behind them.","false","Y","","approved-image","1","2026-09-15"
"eg","symbol","파란 연꽃","One blue Egyptian waterlily opens above a small blue water patch, with many pointed pale blue petals surrounding golden stamens and one broad green floating leaf beside its slender stem.","false","Y","","approved-image","1","2026-09-15"
"eg","landmark","피라미드와 스핑크스","One Giza scene shows three broad monumental sandy limestone pyramids, two large and one smaller, behind a reclining stone sphinx with a lion body and a weathered ancient carved head.","false","Y","","approved-image","1","2026-09-15"
"er","symbol","노란 올리브 가지","One golden yellow olive branch rises from a short curved stem, its narrow pointed leaves alternating on small side twigs, forming a simple upright botanical shape with delicately tapered leaf tips.","false","Y","","approved-image","1","2026-09-15"
"es","symbol","플라멩코 치마","A single flamenco skirt hanging open in a broad bell shape, bright red fabric covered with white round dots and three layered ruffled hems sweeping outward below a narrow waistband.","false","Y","","approved-image","1","2026-09-15"
"es","landmark","가우디 성당 외관","A single Sagrada Familia Nativity facade, pale sandy stone rising into four slender tapering bell towers with honeycomb openings, above three deeply recessed pointed entrances and branching stone surface patterns.","false","Y","","approved-image","2","2026-09-15"
"et","symbol","커피 열매와 원두","One short coffee branch bears five ripe glossy red cherries beside two dark brown roasted beans, each bean showing a curved central groove, with two smooth pointed green leaves above.","false","N","","approved-image","1","2026-09-15"
"et","landmark","달롤 유황 웅덩이","One Dallol mineral field contains three shallow bright yellow and green pools, edged by uneven mustard yellow sulphur crusts and small knobby mineral mounds, with no tall volcanic cone or flames.","false","Y","","approved-image","1","2026-09-15"
"fi","symbol","사우나와 물바가지","A single empty wooden sauna corner, warm horizontal timber walls behind a two-level bench, one small heater topped with round grey stones and one wooden water bucket holding a ladle.","false","Y","","approved-image","1","2026-09-15"
"fi","landmark","라플란드 겨울 숲","A single Lapland winter forest scene, one brown reindeer with branching antlers walking between five snow-covered conifers, its dark hooves leaving a short trail in the smooth white snow.","false","Y","","approved-image","1","2026-09-15"
"fj","symbol","바나나","A single bunch of six ripe yellow bananas attached to one short green stalk, each fruit curving outward with a small brown tip and smooth unpeeled skin.","false","N","","approved-image","3","2026-09-15"
"fm","symbol","야프섬 돌 돈","A single upright Yap stone money disk, a thick rough grey limestone circle with one large central hole, standing as tall as a small child shown from behind beside it.","false","Y","","approved-image","1","2026-09-15"
"fm","landmark","난마돌","A single Nan Madol stone enclosure, dark basalt columns stacked horizontally into high rectangular walls, with one narrow entrance and a small turquoise water channel around its base.","false","N","","approved-image","2","2026-09-15"
"fr","symbol","바게트","A single long golden baguette, a narrow crusty bread loaf with rounded tapered ends and five diagonal cuts across its upper crust, resting diagonally with its whole length visible.","false","N","","approved-image","1","2026-09-15"
"fr","landmark","에펠탑","A single daytime Eiffel Tower, four spreading brown iron legs joined by one broad lower arch, three narrowing platforms, open triangular latticework and one slim antenna at the pointed top.","true","N","","approved-image","1","2026-09-15"
"ga","symbol","만드릴","One mandrill sits calmly with olive brown fur, a bright red nose between two ridged blue muzzle patches, a golden beard, rounded ears and a closed relaxed mouth without visible teeth.","false","N","","approved-image","1","2026-09-15"
"ga","landmark","콩구 폭포","One Kongou waterfall scene spreads low and wide, dozens of small white streams splitting around rounded black boulders beneath a narrow green jungle edge, without one tall continuous water curtain.","false","Y","","approved-image","1","2026-09-15"
"gb","symbol","이층 버스","A single red double-decker bus, a tall rounded vehicle with two clearly separated rows of windows, four black wheels and a curved front, its destination panel completely blank.","false","N","","approved-image","1","2026-09-15"
"gb","landmark","빅벤 시계탑","A single Elizabeth Tower beside a narrow blue river strip, tall golden stone walls supporting four round clock dials, two visible, beneath a steep dark pointed roof and slim finial.","true","Y","","approved-image","1","2026-09-15"
"gd","symbol","육두구 열매","A single ripe nutmeg fruit split into two attached yellow halves, revealing one brown oval seed wrapped in a bright red branching lace of mace.","false","N","","approved-image","1","2026-09-15"
"ge","symbol","추르츠헬라","A single hanging churchkhela sweet, a long burgundy grape-juice coating bulging around a vertical string of walnuts, with rounded connected segments and one short thread at the top.","false","N","","approved-image","1","2026-09-15"
"ge","landmark","게르게티 교회","A single Gergeti Trinity Church exterior on a rounded green hill, a compact grey stone building with a tall conical central roof, backed by one distant snow-covered mountain.","false","Y","","approved-image","1","2026-09-15"
"gh","symbol","켄테 천","One folded length of kente cloth shows closely woven small rectangles in golden yellow, red, green and blue, with a soft draped edge and short fringe making the textile unmistakable.","false","N","","approved-image","1","2026-09-15"
"gh","landmark","보티 쌍둥이 폭포","One Boti waterfall scene shows exactly two tall white streams falling side by side from a dark rocky ledge, separated by a clear rock gap above one small blue pool.","false","Y","","approved-image","1","2026-09-15"
"gm","symbol","껍질 깐 땅콩","One small handful of seven shelled peanuts rests together, each pale golden kernel rounded at both ends with a narrow waist and a fine lengthwise seam, without shells or packaging.","false","N","","approved-image","2","2026-09-15"
"gm","landmark","와수 돌기둥","One Wassu stone circle has eight low reddish brown laterite pillars standing upright around a clear circular gap in a grassy field, their blunt rounded tops and rough surfaces plainly visible.","false","Y","","approved-image","1","2026-09-15"
"gn","symbol","코라 악기","One kora has a large round brown calabash body covered by a pale hide soundboard, a long upright wooden neck and exactly twenty one fine strings spreading over a tall central bridge.","false","Y","","held","5","2026-09-15"
"gq","symbol","판야나무","One kapok tree has a tall pale grey trunk widening into broad triangular buttress roots, with strong horizontal branches supporting a wide flat crown of dense green leaves above the exposed roots.","false","N","","approved-image","1","2026-09-15"
"gr","symbol","돌고래","A single grey blue dolphin leaping above one curled turquoise wave, its smooth arched back carrying one triangular dorsal fin, with two small flippers and a horizontal forked tail.","false","N","","approved-image","1","2026-09-15"
"gr","landmark","산토리니 마을","A single Santorini village cluster, whitewashed buildings with three rounded cobalt blue domes stepping down a sunlit pale cliff, small blue doors and a narrow strip of deep blue sea.","false","Y","","approved-image","2","2026-09-15"
"gt","symbol","케찰","A single quetzal perched on one short branch, with green plumage, a red breast, a small crested head and two very long green tail feathers curving downward.","false","N","","approved-image","1","2026-09-15"
"gt","landmark","티칼 신전","A single Tikal temple, a narrow steep grey stepped pyramid topped by a tall rectangular roof comb, rising above green treetops with three small parrots flying nearby.","false","Y","","approved-image","1","2026-09-15"
"gw","symbol","캐슈넛","One peeled cashew nut forms a thick curved crescent, with a smooth pale cream surface, rounded blunt ends and a shallow inner hollow, shown whole without fruit, shell or packaging.","false","N","","approved-image","1","2026-09-15"
"gw","landmark","바다의 하마","One Orango scene shows three large grey hippos half submerged in clear blue tidal seawater, with rounded ears and backs above the surface beside a low white sandbar and small distant palms.","false","Y","","approved-image","1","2026-09-15"
"gy","symbol","빅토리아 수련","A single giant Victoria waterlily leaf floating on a small blue water patch, a broad round green disk with an upturned rim and visible branching veins.","false","N","","approved-image","1","2026-09-15"
"hn","symbol","흰꼬리사슴","A single white-tailed deer standing on four slender legs, with warm brown fur, a white throat and an upright tail showing its broad white underside.","false","N","","approved-image","1","2026-09-15"
"hn","landmark","코판 석비","A single Copan stone stela, one upright rectangular grey pillar with weathered carved geometric bands, a broad headdress relief and simplified ancient figure contours along its front.","false","Y","","approved-image","1","2026-09-15"
"hr","symbol","달마시안","A single Dalmatian puppy sitting on its haunches, white short fur covered with uneven black spots, two floppy spotted ears, four paws and one slender tail curling behind its body.","false","Y","","approved-image","1","2026-09-15"
"hr","landmark","플리트비체 호수","A single Plitvice landscape, three jade green lakes descending in broad stone terraces, connected by short white waterfalls spilling between mossy ledges and dense green trees around the outer edges.","false","Y","","approved-image","1","2026-09-15"
"ht","symbol","야자나무","A single tall royal palm with a smooth grey trunk, a green crownshaft and a broad fan of long arching fronds spreading outward from its rounded top.","false","N","","approved-image","1","2026-09-15"
"hu","symbol","색깔 큐브","A single cube puzzle with six colored surfaces divided into three by three square tiles, three surfaces visible in red, yellow and blue, separated by thin dark grooves without branding.","false","Y","","approved-image","1","2026-09-15"
"hu","landmark","세체니 온천","A single Szechenyi outdoor bath, one broad turquoise swimming pool releasing faint white steam before a long yellow building with rounded windows, white trim and one small central dome.","true","Y","","approved-image","1","2026-09-15"
"id","symbol","코모도왕도마뱀","A single Komodo dragon, a heavy grey-brown lizard with pebbled skin, a broad blunt head, four sturdy clawed legs, a low elongated body and one long tapering tail.","false","N","","approved-image","1","2026-09-15"
"id","landmark","보로부두르","A single Borobudur temple, a broad grey stone stepped pyramid topped by one large bell-shaped dome, with smaller perforated bell stupas arranged around three circular upper terraces.","false","Y","","approved-image","1","2026-09-15"
"ie","symbol","세잎클로버","A single green shamrock with exactly three heart-shaped leaflets meeting at one central point, each leaflet carrying a pale vein, above one slender curved stem with no additional leaves.","false","N","","approved-image","1","2026-09-15"
"ie","landmark","모허 절벽","A single Cliffs of Moher coastline, three tall dark stone walls dropping straight into blue Atlantic water, topped by a thin bright green grassy edge and shaped by horizontal rock layers.","false","Y","","approved-image","1","2026-09-15"
"il","symbol","사해 소금 결정","A single compact cluster of Dead Sea salt crystals, milky white cubes joined into an irregular lumpy mound, with blunt squared edges and pale blue shading between the crystals.","false","N","","approved-image","1","2026-09-15"
"il","landmark","마사다","A single Masada desert plateau, a broad flat-topped ochre rock rising above sandy ground, with one narrow zigzag path climbing its steep side and distant dark blue water.","false","Y","","approved-image","1","2026-09-15"
"in","symbol","공작","A single Indian peacock standing with a wide fan of green tail feathers, bright blue neck, small upright crest and clearly separated gold-and-blue eye spots.","false","N","","approved-image","1","2026-09-15"
"in","landmark","타지마할","A single Taj Mahal mausoleum, a white marble building with one large onion dome, four slender corner minarets, a central pointed entrance and smaller domed roof pavilions.","false","Y","","approved-image","1","2026-09-15"
"iq","symbol","점토판","A single warm brown clay tablet, a thick rounded rectangle covered with enlarged abstract wedge-shaped stamp impressions arranged in short rows, with softly worn edges.","false","Y","","approved-image","1","2026-09-15"
"iq","landmark","이슈타르 문","A single ancient Ishtar Gate, deep cobalt blue glazed brickwork forming one arched gateway between two square crenellated towers, with small golden bull and dragon reliefs.","false","N","","approved-image","1","2026-09-15"
"ir","symbol","페르시아 양탄자","A single rectangular Persian carpet lying flat, with a deep red field, one dark blue central medallion, cream floral borders and short pale fringes at both ends.","false","N","","approved-image","1","2026-09-15"
"ir","landmark","페르세폴리스 기둥","Two pale grey Persepolis columns, each with a tall fluted shaft and one large double-headed bull capital, the paired stone bull heads facing opposite directions.","false","N","","approved-image","2","2026-09-15"
"is","symbol","퍼핀","A single Atlantic puffin standing on two orange webbed feet, with a black back, white belly and cheeks, a deep triangular orange bill and one small dark eye on each side.","false","N","","approved-image","1","2026-09-15"
"is","landmark","간헐천","A single Icelandic geyser sending one tall white water column upward from a small round turquoise pool, surrounded by low pale mineral ground and a gentle cloud of white steam.","false","Y","","approved-image","1","2026-09-15"
"it","symbol","피자","A single round pizza divided into six triangular slices, with a thick golden crust, red tomato sauce, cream melted cheese and six green basil leaves, all slices forming one circle.","false","N","","approved-image","1","2026-09-15"
